date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/7/2021,FL,32266,0,66,0,82237,82237,3307,92,0,0,9339038,19166,864153,816231,16887410,0,0,1909209,1548837,4024,0,190026,0,178979,0,2502506,0,22339182,64599,22339182,64599,1054711,0,995580,0,11248247,23190,19482607,52132
3/7/2021,GA,17906,15598,1,2308,56797,56797,2008,35,9263,0,0,0,0,0,0,0,0,1023487,828336,1709,0,78312,168867,0,0,803515,0,0,0,7359069,18827,482568,1484921,0,0,0,0,7359069,18827
3/7/2021,GU,133,0,0,0,0,0,2,0,0,1,112887,0,0,0,0,0,1,7749,7540,0,0,27,248,0,0,0,7590,0,0,120636,0,358,9299,0,0,0,0,120426,0
3/7/2021,HI,445,445,1,0,2226,2226,27,0,0,5,0,0,0,0,0,0,3,28699,27891,53,0,0,0,0,0,27774,0,1146796,5117,1146796,5117,0,0,0,0,0,0,0,0
3/7/2021,IA,5558,0,6,0,0,0,167,0,0,35,1044418,1299,0,93984,2432425,0,6,282384,282384,257,0,0,60700,19704,57190,306343,320054,0,0,1326802,1556,0,1390094,113739,247999,1329195,1555,2753899,4464
3/7/2021,ID,1879,1652,3,227,7184,7184,150,5,1245,33,505964,535,0,0,0,0,0,172931,139874,104,0,0,0,0,0,0,96017,0,0,645838,396,0,123809,0,0,645838,396,1103725,877
3/7/2021,IL,23014,20763,12,2251,0,0,1141,0,0,255,0,0,0,0,0,0,112,1198335,0,1068,0,0,0,0,0,0,0,0,0,18640190,68094,0,0,0,0,0,0,18640190,68094
3/7/2021,IN,12737,12310,11,427,43217,43217,656,64,7600,104,2483156,4643,0,0,0,0,50,667262,0,746,0,0,0,0,0,760491,0,0,0,8242367,29427,0,0,0,0,3150418,5389,8242367,29427
3/7/2021,KS,4812,0,0,0,9387,9387,235,0,2554,50,974686,0,0,0,0,411,22,295861,0,0,0,0,0,0,0,0,0,0,0,1270547,0,0,602322,0,0,1270547,0,2525259,0
3/7/2021,KY,4819,4369,13,450,19457,19457,558,6,4034,156,0,0,0,0,0,0,82,410709,314385,525,0,9929,37655,0,0,251921,48145,0,0,3975672,0,111886,509047,0,0,0,0,3975672,0
3/7/2021,LA,9748,9033,32,715,0,0,532,0,0,0,5261679,20578,0,0,0,0,75,433785,372514,740,0,0,0,0,0,0,415954,0,0,5695464,21318,0,469967,0,0,0,0,5634193,21098
3/7/2021,MA,16417,16085,43,332,19713,19713,665,0,0,174,4404792,8028,0,0,0,0,116,591356,559083,1425,0,0,0,15425,0,668145,508745,0,0,16825551,96578,0,0,156185,580372,4963875,9309,16825551,96578
3/7/2021,MD,7955,7773,14,182,35651,35651,818,79,0,215,3034546,2050,0,169779,0,0,0,387319,387319,709,0,0,0,28360,0,472716,9703,0,0,8097590,33128,0,0,198139,0,3421865,2759,8097590,33128
3/7/2021,ME,706,683,2,23,1570,1570,67,4,0,16,0,0,14232,0,0,0,8,45794,35846,159,0,869,10749,0,0,41510,12840,0,0,1660180,7490,15113,213426,0,0,0,0,1660180,7490
3/7/2021,MI,16658,15666,0,992,0,0,866,0,0,222,0,0,0,0,9869602,0,97,656072,596054,0,0,0,0,0,0,752365,549881,0,0,10621967,0,537073,0,0,0,0,0,10621967,0
3/7/2021,MN,6550,6276,4,274,25978,25978,224,2,5364,57,3058514,8218,0,0,0,0,0,490011,465547,895,0,0,0,0,0,0,476055,7111428,25369,7111428,25369,0,451963,0,0,3524061,8998,0,0
3/7/2021,MO,8161,0,0,0,0,0,955,0,0,197,1878583,2950,127001,0,4025535,0,135,480643,480643,291,0,24926,83657,0,0,530741,0,0,0,4565866,10659,152126,906752,135759,366813,2359226,3241,4565866,10659
3/7/2021,MP,2,2,0,0,4,4,0,0,0,0,17429,0,0,0,0,0,0,145,145,1,0,0,0,0,0,0,29,0,0,17574,1,0,0,0,0,17542,0,26131,0
3/7/2021,MS,6808,4737,3,2071,9162,9162,419,0,0,89,1459374,0,0,0,0,0,47,297581,184278,260,0,0,0,0,0,0,278162,0,0,1756955,260,81986,748339,0,0,0,0,1642348,0
3/7/2021,MT,1381,0,0,0,4630,4630,63,1,0,12,0,0,0,0,0,0,6,100914,95390,72,0,0,0,0,0,0,97943,0,0,1104488,3132,0,0,0,0,0,0,1104488,3132
3/7/2021,NC,11502,10169,0,1333,0,0,1179,0,0,309,0,0,0,0,0,0,0,872176,759617,0,0,0,0,0,0,0,0,0,0,9688838,0,0,805924,0,0,0,0,9688838,0
3/7/2021,ND,1478,0,0,0,3880,3880,23,2,567,3,305912,-109,0,0,0,0,0,100391,94928,34,0,0,0,0,0,0,98326,1425146,679,1425146,679,0,156698,0,0,406303,-75,1536487,881
3/7/2021,NE,2113,0,0,0,6237,6237,137,8,0,0,771128,542,0,0,2182938,0,0,203026,0,373,0,0,0,0,0,235965,157144,0,0,2421684,1,0,0,0,0,974759,978,2421684,1
3/7/2021,NH,1184,0,3,0,1131,1131,68,4,348,0,579582,396,0,0,0,0,0,76861,54064,166,0,0,0,0,0,0,73615,0,0,1497185,15697,39545,205103,37918,0,633646,521,1497185,15697
3/7/2021,NJ,23574,21177,17,2397,64396,64396,1792,58,0,376,10186941,0,0,0,0,0,232,812609,720939,2519,0,0,0,0,0,0,0,0,0,10999550,2519,0,0,0,0,0,0,10902830,0
3/7/2021,NM,3808,0,12,0,13252,13252,169,10,0,0,0,0,0,0,0,0,0,186922,0,180,0,0,0,0,0,0,156554,0,0,2783542,11702,0,0,0,0,0,0,2783542,11702
3/7/2021,NV,5037,0,1,0,0,0,399,0,0,87,1131758,1829,0,0,0,0,48,296190,296190,730,0,0,0,0,0,0,0,2770192,6201,2770192,6201,0,0,0,0,1427948,2059,0,0
3/7/2021,NY,39029,0,59,0,0,0,4789,0,0,999,0,0,0,0,0,0,682,1681169,0,6789,0,0,0,0,0,0,0,39695100,227768,39695100,227768,0,0,0,0,0,0,0,0
3/7/2021,OH,17656,14752,0,2594,50881,50881,820,33,7207,260,0,0,0,0,0,0,171,978471,836358,735,0,0,86990,0,0,864925,925655,0,0,10257157,29289,0,1798150,0,0,0,0,10257157,29289
3/7/2021,OK,4534,0,0,0,24332,24332,346,55,0,100,3146300,0,0,0,3146300,0,0,428997,0,461,0,23139,0,0,0,389855,412177,0,0,3575297,461,152279,0,0,0,0,0,3548479,0
3/7/2021,OR,2296,0,3,0,8714,8714,158,0,0,32,0,0,0,0,3624001,0,12,157079,0,195,0,0,0,0,0,226972,0,0,0,3850973,0,0,0,0,0,0,0,3850973,0
3/7/2021,PA,24349,0,32,0,0,0,1587,0,0,314,3942124,6592,0,0,0,0,183,948643,814540,1658,0,0,0,0,0,0,861756,10681716,52432,10681716,52432,0,0,0,0,4756664,8073,0,0
3/7/2021,PR,2062,1752,3,310,0,0,134,0,0,21,305972,0,0,0,395291,0,19,101632,93620,305,0,85241,0,0,0,20103,91987,0,0,407604,305,0,0,0,0,0,0,415664,0
3/7/2021,RI,2547,0,0,0,9020,9020,141,0,0,25,677570,1421,0,0,2970088,0,16,128781,0,265,0,0,0,0,0,153260,0,3123348,13513,3123348,13513,0,0,0,0,806351,1686,0,0
3/7/2021,SC,8754,7744,35,1010,20725,20725,579,66,0,137,4657179,25856,106809,0,4526263,0,83,525865,449977,1408,0,28316,111239,0,0,580893,218863,0,0,5183044,27264,135125,912838,0,0,0,0,5107156,26282
3/7/2021,SD,1900,0,2,0,6705,6705,72,13,0,9,314540,524,0,0,0,0,6,113589,100690,211,0,0,0,0,0,105096,109531,0,0,701924,1275,0,0,0,0,428129,735,701924,1275
3/7/2021,TN,11543,9278,0,2265,18870,18870,851,0,0,218,0,0,0,0,6119050,0,127,782206,653905,0,0,0,140582,0,0,753695,756793,0,0,6872745,0,0,1430665,0,0,0,0,6872745,0
3/7/2021,TX,44451,0,84,0,0,0,4721,0,0,1463,0,0,0,0,0,0,0,2686818,2320857,2953,0,159003,211014,0,0,2628176,2502609,0,0,19907384,76040,1033285,2664340,0,0,0,0,19907384,76040
3/7/2021,UT,1976,0,1,0,14891,14891,212,24,2344,73,1560293,3204,0,0,2564131,822,0,374850,0,412,0,0,60158,0,57683,345990,358958,0,0,2910121,6828,0,1002177,0,371319,1876802,3460,2910121,6828
3/7/2021,VA,9596,8104,77,1492,24661,24661,1127,24,0,258,0,0,0,0,0,0,168,585700,461172,1163,0,28980,125061,0,0,562266,0,6038209,19925,6038209,19925,224284,1454389,0,0,0,0,0,0
3/7/2021,VI,25,25,0,0,0,0,0,0,0,0,46167,0,0,0,0,0,0,2714,0,0,0,0,0,0,0,0,2559,0,0,48881,0,0,0,0,0,48961,0,0,0
3/7/2021,VT,208,0,0,0,0,0,31,0,0,1,320060,643,0,0,0,0,0,16083,15635,119,0,0,0,0,0,0,13384,0,0,1124215,8748,0,0,0,0,335695,759,1124215,8748
3/7/2021,WA,5041,0,0,0,19599,19599,431,43,0,98,0,0,0,0,5068404,0,43,344532,325053,664,0,0,0,0,0,324994,0,5393756,24040,5393756,24040,0,0,0,0,0,0,0,0
3/7/2021,WI,7106,6481,4,625,26457,26457,249,25,2273,66,2647864,3521,0,0,0,0,0,621654,566693,377,0,0,0,0,0,0,553203,7080595,19193,7080595,19193,0,0,0,0,3214557,3850,0,0
3/7/2021,WV,2325,1981,2,344,0,0,179,0,0,40,0,0,0,0,0,0,26,133445,106629,155,0,0,0,0,0,0,125383,0,0,2236551,6449,33011,0,0,0,0,0,2236551,6449
3/7/2021,WY,682,0,0,0,1391,1391,21,0,0,0,182264,0,0,0,602513,0,0,54764,46397,0,0,0,0,0,0,38993,53550,0,0,649293,0,0,0,0,0,228661,0,649293,0
3/6/2021,AK,305,0,0,0,1293,1293,33,0,0,0,0,0,0,0,1660758,0,2,56886,0,0,0,0,0,0,0,68693,0,0,0,1731628,0,0,0,0,0,0,0,1731628,0
3/6/2021,AL,10149,7963,27,2186,45976,45976,526,0,2675,0,1929624,4866,0,0,0,1514,0,499411,391817,524,0,0,0,0,0,0,295690,0,0,2321441,5314,0,0,119456,0,2321441,5314,0,0
3/6/2021,AR,5297,4302,14,995,14915,14915,345,12,0,148,2477449,4711,0,0,2477449,1533,75,324653,255613,327,0,0,0,0,81756,0,315181,0,0,2733062,4959,0,0,0,479963,0,0,2733062,4959
3/6/2021,AS,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,2140,0
3/6/2021,AZ,16323,14395,54,1928,57863,57863,966,44,0,280,3059332,8442,0,0,0,0,140,825119,768757,1735,0,0,0,0,0,0,0,0,0,7862995,35425,580318,0,443336,0,3828089,9639,7862995,35425
3/6/2021,CA,53866,0,418,0,0,0,4513,0,0,1221,0,0,0,0,0,0,0,3497578,3497578,4452,0,0,0,0,0,0,0,0,0,49512828,218325,0,0,0,0,0,0,49512828,218325
3/6/2021,CO,5986,5251,0,735,23886,23886,326,23,0,0,2199458,5505,368326,0,0,0,0,435762,410976,1108,0,62612,0,0,0,0,0,6376960,33600,6376960,33600,433082,0,0,0,2610434,6427,0,0
3/6/2021,CT,7704,6327,0,1377,0,0,428,0,0,0,0,0,0,0,6188566,0,0,285330,265709,0,0,0,22245,0,0,323284,0,0,0,6520366,0,0,396680,0,0,0,0,6520366,0
3/6/2021,DC,1030,0,3,0,0,0,150,0,0,40,0,0,0,0,0,0,15,41273,0,151,0,0,0,0,0,0,29470,1255637,8000,1255637,8000,0,0,0,0,440793,1280,0,0
3/6/2021,DE,1464,1328,11,136,0,0,114,0,0,12,544153,1362,0,0,0,0,0,88139,83424,265,0,0,0,0,0,91685,0,1426075,8757,1426075,8757,0,0,0,0,632292,1627,0,0
3/6/2021,FL,32200,0,107,0,82145,82145,3352,243,0,0,9319872,23282,864153,816231,16841086,0,0,1905185,1545643,4587,0,190026,0,178979,0,2496909,0,22274583,87820,22274583,87820,1054711,0,995580,0,11225057,27869,19430475,59303
3/6/2021,GA,17905,15597,90,2308,56762,56762,2071,135,9260,0,0,0,0,0,0,0,0,1021778,827397,2269,0,77793,168005,0,0,802411,0,0,0,7340242,24765,481545,1478232,0,0,0,0,7340242,24765
3/6/2021,GU,133,0,0,0,0,0,2,0,0,1,112887,0,0,0,0,0,1,7749,7540,1,0,27,248,0,0,0,7590,0,0,120636,1,358,9299,0,0,0,0,120426,0
3/6/2021,HI,444,444,1,0,2226,2226,27,1,0,5,0,0,0,0,0,0,3,28646,27838,85,0,0,0,0,0,27726,0,1141679,5284,1141679,5284,0,0,0,0,0,0,0,0
3/6/2021,IA,5552,0,3,0,0,0,170,0,0,38,1043119,1515,0,93873,2428315,0,10,282127,282127,362,0,0,60633,19635,57133,306056,319780,0,0,1325246,1877,0,1388623,113559,247775,1327640,1871,2749435,7094
3/6/2021,ID,1876,1649,0,227,7179,7179,150,15,1245,33,505429,504,0,0,0,0,0,172827,140013,240,0,0,0,0,0,0,95808,0,0,645442,646,0,123809,0,0,645442,646,1102848,2572
3/6/2021,IL,23002,20750,56,2252,0,0,1210,0,0,261,0,0,0,0,0,0,108,1197267,0,2565,0,0,0,0,0,0,0,0,0,18572096,79248,0,0,0,0,0,0,18572096,79248
3/6/2021,IN,12726,12299,29,427,43153,43153,663,49,7586,118,2478513,5155,0,0,0,0,60,666516,0,1231,0,0,0,0,0,759598,0,0,0,8212940,41718,0,0,0,0,3145029,6386,8212940,41718
3/6/2021,KS,4812,0,0,0,9387,9387,235,0,2554,50,974686,0,0,0,0,411,22,295861,0,0,0,0,0,0,0,0,0,0,0,1270547,0,0,602322,0,0,1270547,0,2525259,0
3/6/2021,KY,4806,4356,52,450,19451,19451,591,71,4034,171,0,0,0,0,0,0,72,410184,313998,839,0,9929,37655,0,0,251921,48131,0,0,3975672,5773,111886,509047,0,0,0,0,3975672,5773
3/6/2021,LA,9716,9007,0,709,0,0,538,0,0,0,5241101,0,0,0,0,0,77,433045,371994,0,0,0,0,0,0,0,415954,0,0,5674146,0,0,466494,0,0,0,0,5613095,0
3/6/2021,MA,16374,16044,52,330,19713,19713,687,0,0,176,4396764,7826,0,0,0,0,114,589931,557802,1722,0,0,0,15425,0,666605,508745,0,0,16728973,100359,0,0,156185,578153,4954566,9321,16728973,100359
3/6/2021,MD,7941,7759,11,182,35572,35572,830,194,0,230,3032496,7547,0,169779,0,0,0,386610,386610,932,0,0,0,28360,0,471762,9703,0,0,8064462,40384,0,0,198139,0,3419106,8479,8064462,40384
3/6/2021,ME,704,681,0,23,1566,1566,74,6,0,20,0,0,14232,0,0,0,9,45635,35759,183,0,869,10646,0,0,41390,12838,0,0,1652690,8103,15113,210929,0,0,0,0,1652690,8103
3/6/2021,MI,16658,15666,57,992,0,0,866,0,0,222,0,0,0,0,9869602,0,97,656072,596054,1692,0,0,0,0,0,752365,549881,0,0,10621967,37232,537073,0,0,0,0,0,10621967,37232
3/6/2021,MN,6546,6272,12,274,25976,25976,224,38,5364,57,3050296,6988,0,0,0,0,0,489116,464767,946,0,0,0,0,0,0,475170,7086059,28026,7086059,28026,0,448578,0,0,3515063,7786,0,0
3/6/2021,MO,8161,0,3,0,0,0,1001,0,0,198,1875633,3308,126755,0,4015210,0,136,480352,480352,386,0,24832,83481,0,0,530416,0,0,0,4555207,14140,151786,900275,135520,364697,2355985,3694,4555207,14140
3/6/2021,MP,2,2,0,0,4,4,0,0,0,0,17429,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,29,0,0,17573,0,0,0,0,0,17542,0,26131,0
3/6/2021,MS,6805,4734,22,2071,9162,9162,419,0,0,89,1459374,0,0,0,0,0,47,297321,184157,576,0,0,0,0,0,0,278162,0,0,1756695,576,81986,748339,0,0,0,0,1642348,0
3/6/2021,MT,1381,0,2,0,4629,4629,63,19,0,12,0,0,0,0,0,0,6,100842,95336,186,0,0,0,0,0,0,97801,0,0,1101356,4443,0,0,0,0,0,0,1101356,4443
3/6/2021,NC,11502,10169,56,1333,0,0,1179,0,0,309,0,0,0,0,0,0,0,872176,759617,2027,0,0,0,0,0,0,0,0,0,9688838,38654,0,805924,0,0,0,0,9688838,38654
3/6/2021,ND,1478,0,0,0,3878,3878,21,3,567,3,306021,111,0,0,0,0,0,100357,94906,79,0,0,0,0,0,0,98240,1424467,1930,1424467,1930,0,156289,0,0,406378,190,1535606,2599
3/6/2021,NE,2113,0,1,0,6229,6229,136,3,0,0,770586,1354,0,0,2183243,0,0,202653,0,343,0,0,0,0,0,235726,156825,0,0,2421683,10138,0,0,0,0,973781,1701,2421683,10138
3/6/2021,NH,1181,0,3,0,1127,1127,90,1,348,0,579186,1496,0,0,0,0,0,76695,53939,273,0,0,0,0,0,0,73327,0,0,1481488,0,39484,201268,37902,0,633125,1680,1481488,0
3/6/2021,NJ,23557,21160,36,2397,64338,64338,1862,-916,0,382,10186941,0,0,0,0,0,233,810090,718873,3720,0,0,0,0,0,0,0,0,0,10997031,3720,0,0,0,0,0,0,10902830,0
3/6/2021,NM,3796,0,9,0,13242,13242,148,13,0,0,0,0,0,0,0,0,0,186742,0,282,0,0,0,0,0,0,155000,0,0,2771840,13846,0,0,0,0,0,0,2771840,13846
3/6/2021,NV,5036,0,16,0,0,0,399,0,0,87,1129929,2551,0,0,0,0,48,295460,295960,0,0,0,0,0,0,0,0,2763991,9659,2763991,9659,0,0,0,0,1425889,3051,0,0
3/6/2021,NY,38970,0,79,0,0,0,4954,0,0,1012,0,0,0,0,0,0,694,1674380,0,7647,0,0,0,0,0,0,0,39467332,273132,39467332,273132,0,0,0,0,0,0,0,0
3/6/2021,OH,17656,14752,0,2594,50848,50848,922,66,7205,273,0,0,0,0,0,0,188,977736,835856,1506,0,0,86651,0,0,863985,923986,0,0,10227868,40190,0,1787169,0,0,0,0,10227868,40190
3/6/2021,OK,4534,0,0,0,24277,24277,346,120,0,100,3146300,11240,0,0,3146300,0,0,428536,0,978,0,23139,0,0,0,389855,411624,0,0,3574836,12218,152279,0,0,0,0,0,3548479,11750
3/6/2021,OR,2293,0,9,0,8714,8714,158,15,0,32,0,0,0,0,3624001,0,12,156884,0,211,0,0,0,0,0,226972,0,0,0,3850973,52906,0,0,0,0,0,0,3850973,52906
3/6/2021,PA,24317,0,55,0,0,0,1513,0,0,314,3935532,9494,0,0,0,0,171,946985,813059,2789,0,0,0,0,0,0,859218,10629284,0,10629284,0,0,0,0,0,4748591,11534,0,0
3/6/2021,PR,2059,1749,3,310,0,0,147,0,0,24,305972,0,0,0,395291,0,18,101327,93336,261,0,84115,0,0,0,20103,91987,0,0,407299,261,0,0,0,0,0,0,415664,0
3/6/2021,RI,2547,0,6,0,9020,9020,141,0,0,25,676149,1634,0,0,2956871,0,16,128516,0,395,0,0,0,0,0,152964,0,3109835,21854,3109835,21854,0,0,0,0,804665,2029,0,0
3/6/2021,SC,8719,7711,20,1008,20659,20659,623,54,0,157,4631323,27774,106601,0,4501627,0,86,524457,449151,1199,0,28174,110613,0,0,579247,218863,0,0,5155780,28973,134775,902974,0,0,0,0,5080874,29050
3/6/2021,SD,1898,0,2,0,6692,6692,74,11,0,10,314016,756,0,0,0,0,7,113378,100533,149,0,0,0,0,0,105003,109371,0,0,700649,2193,0,0,0,0,427394,905,700649,2193
3/6/2021,TN,11543,9278,9,2265,18870,18870,879,33,0,223,0,0,0,0,6119050,0,127,782206,653905,1312,0,0,140582,0,0,753695,756793,0,0,6872745,16164,0,1430665,0,0,0,0,6872745,16164
3/6/2021,TX,44367,0,233,0,0,0,4921,0,0,1503,0,0,0,0,0,0,0,2683865,2318522,5570,0,157037,211546,0,0,2622781,2491753,0,0,19831344,11292,1025375,2630435,0,0,0,0,19831344,11292
3/6/2021,UT,1975,0,5,0,14867,14867,216,26,2344,77,1557089,3556,0,0,2557616,822,0,374438,0,570,0,0,60002,0,57529,345677,358249,0,0,2903293,8211,0,1000187,0,370352,1873342,3904,2903293,8211
3/6/2021,VA,9519,8090,91,1429,24637,24637,1164,123,0,263,0,0,0,0,0,0,160,584537,460273,1477,0,28805,124666,0,0,561305,0,6018284,21456,6018284,21456,223817,1449641,0,0,0,0,0,0
3/6/2021,VI,25,25,0,0,0,0,0,0,0,0,46167,0,0,0,0,0,0,2714,0,0,0,0,0,0,0,0,2559,0,0,48881,0,0,0,0,0,48961,0,0,0
3/6/2021,VT,208,0,1,0,0,0,26,0,0,2,319417,697,0,0,0,0,0,15964,15519,145,0,0,0,0,0,0,13305,0,0,1115467,8171,0,0,0,0,334936,840,1115467,8171
3/6/2021,WA,5041,0,9,0,19556,19556,431,56,0,98,0,0,0,0,5044931,0,30,343868,324469,778,0,0,0,0,0,324428,0,5369716,25314,5369716,25314,0,0,0,0,0,0,0,0
3/6/2021,WI,7102,6478,8,624,26432,26432,260,45,2271,77,2644343,2161,0,0,0,0,0,621277,566364,614,0,0,0,0,0,0,552642,7061402,24321,7061402,24321,0,0,0,0,3210707,2367,0,0
3/6/2021,WV,2323,1979,5,344,0,0,196,0,0,56,0,0,0,0,0,0,27,133290,106513,326,0,0,0,0,0,0,124983,0,0,2230102,11614,32961,0,0,0,0,0,2230102,11614
3/6/2021,WY,682,0,0,0,1391,1391,21,0,0,0,182264,0,0,0,602513,0,0,54764,46397,0,0,0,0,0,0,38993,53550,0,0,649293,0,0,0,0,0,228661,0,649293,0
3/5/2021,AK,305,0,2,0,1293,1293,33,3,0,0,0,0,0,0,1660758,0,2,56886,0,141,0,0,0,0,0,68693,0,0,0,1731628,7144,0,0,0,0,0,0,1731628,7144
3/5/2021,AL,10122,7943,28,2179,45976,45976,526,169,2672,0,1924758,4223,0,0,0,1514,0,498887,391369,811,0,0,0,0,0,0,295690,0,0,2316127,4920,0,0,119005,0,2316127,4920,0,0
3/5/2021,AR,5283,4291,10,992,14903,14903,359,27,0,153,2472738,8452,0,0,2472738,1530,86,324326,255365,570,0,0,0,0,81647,0,314732,0,0,2728103,8874,0,0,0,479119,0,0,2728103,8874
3/5/2021,AS,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,2140,0
3/5/2021,AZ,16269,14339,84,1930,57819,57819,1043,72,0,325,3050890,18778,0,0,0,0,154,823384,767560,2276,0,0,0,0,0,0,0,0,0,7827570,51727,579560,0,441664,0,3818450,20834,7827570,51727
3/5/2021,CA,53448,0,400,0,0,0,4714,0,0,1236,0,0,0,0,0,0,0,3493126,3493126,4659,0,0,0,0,0,0,0,0,0,49294503,146818,0,0,0,0,0,0,49294503,146818
3/5/2021,CO,5986,5250,12,736,23863,23863,356,72,0,0,2193953,5212,366328,0,0,0,0,434654,410054,1633,0,61933,0,0,0,0,0,6343360,33127,6343360,33127,430938,0,0,0,2604007,6312,0,0
3/5/2021,CT,7704,6327,11,1377,0,0,428,0,0,0,0,0,0,0,6188566,0,0,285330,265709,830,0,0,22245,0,0,323284,0,0,0,6520366,41868,0,396680,0,0,0,0,6520366,41868
3/5/2021,DC,1027,0,3,0,0,0,160,0,0,45,0,0,0,0,0,0,19,41122,0,108,0,0,0,0,0,0,29417,1247637,5821,1247637,5821,0,0,0,0,439513,1038,0,0
3/5/2021,DE,1453,1317,9,136,0,0,127,0,0,15,542791,1020,0,0,0,0,0,87874,83187,231,0,0,0,0,0,91372,0,1417318,3678,1417318,3678,0,0,0,0,630665,1251,0,0
3/5/2021,FL,32093,0,138,0,81902,81902,3419,302,0,0,9296590,26910,864153,816231,16788533,0,0,1900598,1542400,5876,0,190026,0,178979,0,2490463,0,22186763,106925,22186763,106925,1054711,0,995580,0,11197188,32786,19371172,77877
3/5/2021,GA,17815,15526,65,2289,56627,56627,2099,115,9236,0,0,0,0,0,0,0,0,1019509,826117,2081,0,77232,166895,0,0,801097,0,0,0,7315477,35861,480456,1463362,0,0,0,0,7315477,35861
3/5/2021,GU,133,0,2,0,0,0,2,0,0,1,112887,538,0,0,0,0,1,7748,7539,1,0,27,248,0,0,0,7590,0,0,120635,539,358,9299,0,0,0,0,120426,539
3/5/2021,HI,443,443,2,0,2225,2225,28,0,0,5,0,0,0,0,0,0,3,28561,27753,95,0,0,0,0,0,27648,0,1136395,5302,1136395,5302,0,0,0,0,0,0,0,0
